index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig16b,False,1,strong_wolfe,False,10,5.0,500,1.0,1204,0.0006468127248808,1672.6083207130432
0,fig4a,False,1,strong_wolfe,False,20,10.0,500,0.3,896,0.0006877051782794,2778.2050547599792
0,fig16b,False,0,strong_wolfe,False,10,5.0,1000,1.0,233,0.0241577699780464,385.3319945335388
0,fig4a,False,0,strong_wolfe,False,5,2.0,3,10.0,604,0.0536020435392856,325.05947947502136
0,fig4a,False,0,strong_wolfe,False,40,,100,1.0,233,0.0003038162831217,1350.282984495163
0,fig16b,False,0,,False,40,,100,0.3,220,0.0002079557598335,2274.1989662647247
0,fig16b,False,0,,False,10,5.0,30,1.0,794,0.0020030429586768,984.1089134216307
0,fig16b,False,0,strong_wolfe,False,10,10.0,30,3.0,269,0.0123420562595129,371.3613584041596
0,fig16b,False,0,strong_wolfe,False,5,5.0,3,3.0,94,0.0942951664328575,97.75738549232484
0,fig4a,False,1,strong_wolfe,False,5,2.0,300,3.0,1889,0.0154612641781568,807.4772610664368
0,fig16b,False,0,strong_wolfe,False,10,5.0,1000,3.0,307,0.0210947785526514,515.9793367385864
0,fig4a,False,1,strong_wolfe,False,10,,100,1.0,725,0.0005491037736646,1200.6678483486176
0,fig16b,False,0,strong_wolfe,False,5,,10,1.0,932,0.0011740837944671,738.1070671081543
0,fig16b,False,1,strong_wolfe,False,20,,100,1.0,346,0.0002664752828422,1014.7134354114532
0,fig4a,False,1,strong_wolfe,False,5,,30,3.0,437,0.020896652713418,378.25121092796326
0,fig16b,False,1,strong_wolfe,False,10,,3,10.0,764,0.0026138059329241,1265.6925671100616
0,fig4a,False,0,strong_wolfe,False,40,,500,10.0,315,0.000275536061963,3974.751885652542
0,fig16b,False,1,strong_wolfe,False,40,,500,3.0,70,0.0242885928601026,417.9520835876465
0,fig16b,False,0,strong_wolfe,False,20,10.0,10,3.0,138,0.0226802174001932,189.2637333869934
0,fig4a,False,0,,False,20,20.0,300,1.0,381,0.0003804177686106,2208.1288826465607
0,fig16b,False,1,strong_wolfe,False,10,10.0,30,10.0,141,0.0276644099503755,198.7520637512207
0,fig4a,False,1,strong_wolfe,False,5,,500,0.3,1364,0.0010713330702856,2475.928525447845
0,fig16b,False,0,strong_wolfe,False,40,20.0,200,0.3,391,0.0002992796362377,2051.3061168193817
0,fig4a,False,0,strong_wolfe,False,20,10.0,3,10.0,170,0.0536020435392856,256.3111245632172
0,fig16b,False,1,strong_wolfe,False,20,10.0,500,1.0,654,0.0003473036049399,1840.3515977859497
0,fig4a,False,0,,False,5,2.0,300,0.3,2000,0.0241059847176074,1021.0974249839784
0,fig16b,False,0,strong_wolfe,False,10,10.0,3,10.0,813,0.0028309575282037,1123.394048690796
0,fig16b,False,0,strong_wolfe,False,5,,200,10.0,508,0.0112112751230597,895.5326244831085
0,fig16b,False,1,strong_wolfe,False,20,,300,10.0,79,0.0366984009742736,168.46543288230896
