filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig4a,False,1,None,True,40,,10,0.01,223,0.004963434766978,30:52
fig4a,False,0,None,False,10,0.5,100,0.01,2001,0.0133737297728657,34:28
fig4a,False,1,strong_wolfe,False,20,1.0,3,1.0,440,0.0004769249644596,30:16
fig16b,False,1,strong_wolfe,True,40,1.0,10,1.0,199,0.0002259216125821,27:53
fig16b,False,0,strong_wolfe,False,10,1.0,10,1.0,590,0.0004391729598864,20:30
fig16b,True,1,strong_wolfe,True,40,1.0,100,0.01,516,0.0004091791051905,1:07:55
fig4a,False,0,None,False,5,,100,1.0,1029,0.0010086592519655,17:53
fig16b,False,1,None,True,40,,100,0.01,212,0.0040441551245749,29:41
fig4a,False,0,None,False,20,1.0,100,1.0,423,0.0003923482436221,29:25
fig16b,True,1,None,False,5,,10,1.0,906,0.0008101098937913,14:07
fig4a,False,1,strong_wolfe,False,40,1.0,10,0.01,659,0.0005344469100236,1:27:15
fig16b,False,1,strong_wolfe,True,40,,10,1.0,185,0.0002211405953858,25:45
fig16b,False,0,strong_wolfe,False,40,0.5,3,0.01,858,0.0006029198993928,58:18
fig4a,True,1,None,False,10,,100,0.01,690,0.0135766603052616,24:05
fig16b,False,0,None,True,10,1.0,3,0.01,713,0.0036864064168184,24:37
fig4a,True,0,None,True,10,,100,0.01,510,0.0078528337180614,18:02
fig4a,True,0,strong_wolfe,True,40,0.5,3,0.01,1035,0.0007457310566678,1:02:48
fig4a,True,1,None,True,40,,3,1.0,310,0.0002817260683514,43:03
fig16b,True,1,None,True,5,1.0,3,0.01,1383,0.0037287401501089,24:00
fig16b,True,0,None,False,40,0.5,100,1.0,358,0.0002992058580275,24:48
fig4a,False,0,None,False,20,,10,1.0,407,0.0003850236535072,25:40
fig16b,True,0,strong_wolfe,False,40,,3,0.01,499,0.0003550970577634,1:22:38
fig16b,False,0,None,False,40,0.5,10,1.0,360,0.0003463881148491,25:02
fig4a,True,0,None,True,5,1.0,3,1.0,1020,0.0012002702569589,17:36
fig4a,True,0,None,False,10,,3,1.0,758,0.0006758864037692,23:16
fig4a,False,0,None,True,40,0.5,100,1.0,396,0.0004345187335275,27:46
fig4a,True,0,strong_wolfe,False,10,1.0,3,0.01,1889,0.0012239625211805,1:06:53
